DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	20.7002	0	0
DL	0.00405357	0	4	0	2	1	1	2	0	88	0	0	25.5862	0	0
DL	0.00407143	0	4	0	3	1	1	3	0	88	0	0	24.3017	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	20.7727 	0	0
UL	0.00505357	0	5	0	2	1	1	2	0	88	0	0	25.5693 	0	0
UL	0.00507143	0	5	0	3	1	1	3	0	88	0	0	24.2312 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	1946	26	0	20.7729	0	0
DL	0.00580357	0	5	3	2	1	1	2	0	2126	28	0	25.5953	0	0.00209853
DL	0.00582143	0	5	3	3	1	1	3	0	2126	28	0	24.3104	0	0.00598801
DL	0.0340357	3	4	0	1	1	1	1	0	88	0	0	20.9416	0	0
DL	0.0340536	3	4	0	2	1	1	2	0	88	0	0	25.614	0	0
DL	0.0340714	3	4	0	3	1	1	3	0	88	0	0	24.3653	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	88	0	0	20.882 	0	0
UL	0.0350536	3	5	0	2	1	1	2	0	88	0	0	25.6761 	0	0
UL	0.0350714	3	5	0	3	1	1	3	0	88	0	0	24.477 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	1946	26	0	20.8704	0	0
DL	0.0358036	3	5	3	2	1	1	2	0	2126	28	0	25.5703	0	0.00209853
DL	0.0358214	3	5	3	3	1	1	3	0	2126	28	0	24.4941	0	0.00539029
UL	0.0407857	4	0	3	1	1	1	1	0	1946	26	0	20.7399 	0	0
UL	0.0408036	4	0	3	2	1	1	2	0	2126	28	0	25.5325 	0	0.00209853
DL	0.0427857	4	2	3	1	1	1	1	0	1946	26	0	20.6782	0	0
DL	0.0428036	4	2	3	2	1	1	2	0	2126	28	0	25.6105	0	0.00209853
DL	0.0428214	4	2	3	3	1	1	3	0	2126	28	0	24.6265	0	0.00539029
UL	0.0507857	5	0	3	1	1	1	1	0	1946	26	0	20.708 	0	0
UL	0.0508036	5	0	3	2	1	1	2	0	2126	28	0	25.5021 	0	0.00209853
DL	0.0527857	5	2	3	1	1	1	1	0	1946	26	0	20.768	0	0
DL	0.0528036	5	2	3	2	1	1	2	0	2126	28	0	25.3629	0	0.00209853
DL	0.0528214	5	2	3	3	1	1	3	0	2126	28	0	24.6046	0	0.00539029
UL	0.0607857	6	0	3	1	1	1	1	0	1946	26	0	20.7302 	0	0
UL	0.0608036	6	0	3	2	1	1	2	0	2126	28	0	25.458 	0	0.00209853
DL	0.0627857	6	2	3	1	1	1	1	0	1946	26	0	20.8475	0	0
DL	0.0628036	6	2	3	2	1	1	2	0	2126	28	0	25.3728	0	0.00209853
DL	0.0628214	6	2	3	3	1	1	3	0	2126	28	0	24.5769	0	0.00539029
UL	0.0707857	7	0	3	1	1	1	1	0	1946	26	0	20.5791 	0	0.00638976
UL	0.0708036	7	0	3	2	1	1	2	0	2126	28	0	25.3627 	0	0.00209853
DL	0.0727857	7	2	3	1	1	1	1	0	1946	26	0	20.4361	0	0.00638976
DL	0.0728036	7	2	3	2	1	1	2	0	2126	28	0	25.5441	0	0.00209853
DL	0.0728214	7	2	3	3	1	1	3	0	2126	28	0	24.3859	0	0.00598801
UL	0.0807857	8	0	3	1	1	1	1	0	1946	26	0	20.3332 	0	0.00638976
UL	0.0808036	8	0	3	2	1	1	2	0	2126	28	0	25.7165 	0	0.00209853
DL	0.0827857	8	2	3	1	1	1	1	0	1946	26	0	20.3263	0	0.00638976
DL	0.0828036	8	2	3	2	1	1	2	0	2126	28	0	25.7629	0	0.00179892
DL	0.0828214	8	2	3	3	1	1	3	0	2126	28	0	24.3623	0	0.00598801
UL	0.0907857	9	0	3	1	1	1	1	0	1946	26	0	20.39 	0	0.00638976
UL	0.0908036	9	0	3	2	1	1	2	0	2126	28	0	25.7142 	0	0.00209853
DL	0.0927857	9	2	3	1	1	1	1	0	1946	26	0	20.3864	0	0.00638976
DL	0.0928036	9	2	3	2	1	1	2	0	2126	28	0	25.6327	0	0.00209853
DL	0.0928214	9	2	3	3	1	1	3	0	2126	28	0	24.555	0	0.00539029
UL	0.100786	10	0	3	1	1	1	1	0	1946	26	0	20.4533 	0	0.00638976
UL	0.100804	10	0	3	2	1	1	2	0	2126	28	0	25.5434 	0	0.00209853
DL	0.102786	10	2	3	1	1	1	1	0	1946	26	0	20.4848	0	0.00638976
DL	0.102804	10	2	3	2	1	1	2	0	2126	28	0	25.6252	0	0.00209853
DL	0.102821	10	2	3	3	1	1	3	0	2126	28	0	24.6098	0	0.00539029
UL	0.110786	11	0	3	1	1	1	1	0	1946	26	0	20.6326 	0	0
UL	0.110804	11	0	3	2	1	1	2	0	2126	28	0	25.4183 	0	0.00209853
DL	0.112786	11	2	3	1	1	1	1	0	1946	26	0	20.7064	0	0
DL	0.112804	11	2	3	2	1	1	2	0	2126	28	0	25.4007	0	0.00209853
DL	0.112821	11	2	3	3	1	1	3	0	2126	28	0	24.4721	0	0.00539029
UL	0.120786	12	0	3	1	1	1	1	0	1946	26	0	20.5719 	0	0.00638976
UL	0.120804	12	0	3	2	1	1	2	0	2126	28	0	25.5822 	0	0.00209853
DL	0.122786	12	2	3	1	1	1	1	0	1946	26	0	20.5274	0	0.00638976
DL	0.122804	12	2	3	2	1	1	2	0	2126	28	0	25.4173	0	0.00209853
DL	0.122821	12	2	3	3	1	1	3	0	2126	28	0	24.396	0	0.00598801
UL	0.130786	13	0	3	1	1	1	1	0	1946	26	0	20.3582 	0	0.00638976
UL	0.130804	13	0	3	2	1	1	2	0	2126	28	0	25.163 	0	0.00269757
DL	0.132786	13	2	3	1	1	1	1	0	1946	26	0	20.1855	1	0.00638976
DL	0.132804	13	2	3	2	1	1	2	0	2126	28	0	25.0376	0	0.00269757
DL	0.132821	13	2	3	3	1	1	3	0	2126	28	0	24.2786	0	0.00598801
DL	0.133536	13	3	2	1	1	1	1	0	1946	26	1	20.0702	0	0
DL	0.133554	13	3	2	2	1	1	1	0	1946	26	2	20.0659	0	0.00638976
UL	0.140786	14	0	3	1	1	1	1	0	1946	26	0	20.105 	0	0.00638976
UL	0.140804	14	0	3	2	1	1	2	0	2126	28	0	24.7891 	0	0.00539029
DL	0.142786	14	2	3	1	1	1	1	0	1946	26	0	20.1375	0	0.00638976
DL	0.142804	14	2	3	2	1	1	2	0	2126	28	0	24.7919	0	0.00539029
DL	0.142821	14	2	3	3	1	1	3	0	2126	28	0	24.3875	0	0.00598801
UL	0.150786	15	0	3	1	1	1	1	0	1946	26	0	20.0125 	0	0.00638976
UL	0.150804	15	0	3	2	1	1	2	0	2126	28	0	24.698 	0	0.00539029
DL	0.152786	15	2	3	1	1	1	1	0	1946	26	0	20.0433	0	0.00638976
DL	0.152804	15	2	3	2	1	1	2	0	2126	28	0	24.8301	0	0.00539029
DL	0.152821	15	2	3	3	1	1	3	0	2126	28	0	24.3424	0	0.00598801
UL	0.160786	16	0	3	1	1	1	1	0	1946	26	0	19.6895 	1	0.354857
UL	0.160804	16	0	3	2	1	1	2	0	2126	28	0	24.9808 	0	0.00269757
