Time	UE Id	DistanceX	DistanceY
0.1	0	-99.8792	-49.7196
0.1	1	-149.683	-29.7852
0.1	2	-169.992	-38.3191
0.2	0	-99.7583	-49.4391
0.2	1	-149.367	-29.5705
0.2	2	-169.985	-38.6382
0.3	0	-99.6375	-49.1587
0.3	1	-149.312	-29.4976
0.3	2	-169.977	-38.9573
0.4	0	-99.7934	-49.1009
0.4	1	-149.673	-29.6502
0.4	2	-169.775	-39.2607
0.5	0	-100.054	-49.1274
0.5	1	-150.034	-29.8028
0.5	2	-169.544	-39.5617
0.6	0	-100.315	-49.154
0.6	1	-150.276	-29.8522
0.6	2	-169.411	-39.8499
0.7	0	-100.576	-49.1805
0.7	1	-150.494	-29.8812
0.7	2	-169.604	-40.096
0.8	0	-100.947	-49.2077
0.8	1	-150.712	-29.9101
0.8	2	-169.796	-40.3421
0.9	0	-101.329	-49.235
0.9	1	-150.93	-29.9391
0.9	2	-169.976	-40.5872
1	0	-101.605	-49.3526
1	1	-151.12	-29.9101
1	2	-169.777	-40.7976
1.1	0	-101.634	-49.6815
1.1	1	-151.242	-29.7399
1.1	2	-169.577	-41.008
1.2	0	-101.662	-50.0103
1.2	1	-151.364	-29.5698
1.2	2	-169.377	-41.2184
1.3	0	-101.719	-50.1882
1.3	1	-151.486	-29.3997
1.3	2	-169.436	-41.4486
1.4	0	-101.849	-49.9585
1.4	1	-151.608	-29.2295
1.4	2	-169.679	-41.693
1.5	0	-101.979	-49.7289
1.5	1	-151.762	-29.2168
1.5	2	-169.922	-41.9374
1.6	0	-102.109	-49.4993
1.6	1	-151.947	-29.3531
1.6	2	-170.072	-41.8003
1.7	0	-102.175	-49.188
1.7	1	-152.132	-29.4894
1.7	2	-170.178	-41.4856
1.8	0	-102.172	-48.7891
1.8	1	-152.317	-29.6257
1.8	2	-170.284	-41.1709
1.9	0	-102.169	-48.3902
1.9	1	-152.46	-29.6947
1.9	2	-170.523	-41.0401
2	0	-101.809	-48.2408
2	1	-152.388	-29.4114
2	2	-170.826	-40.9994
2.1	0	-101.44	-48.0976
2.1	1	-152.315	-29.1281
2.1	2	-171.13	-40.9588
2.2	0	-101.207	-47.8589
2.2	1	-152.242	-28.8448
2.2	2	-171.251	-41.0058
2.3	0	-101.142	-47.503
2.3	1	-152.338	-28.5778
2.3	2	-171.107	-41.1802
2.4	0	-101.076	-47.1471
2.4	1	-152.492	-28.3164
2.4	2	-170.963	-41.3545
2.5	0	-100.983	-46.9174
2.5	1	-152.647	-28.0549
2.5	2	-170.819	-41.5288
2.6	0	-100.877	-46.7455
2.6	1	-152.802	-27.7687
2.6	2	-170.675	-41.7031
2.7	0	-100.772	-46.5736
2.7	1	-152.959	-27.4522
2.7	2	-170.507	-41.4669
2.8	0	-100.666	-46.4017
2.8	1	-153.115	-27.1356
2.8	2	-170.339	-41.2246
2.9	0	-100.561	-46.2298
2.9	1	-153.261	-26.8044
2.9	2	-170.17	-40.9823
3	0	-100.478	-46.0115
3	1	-153.4	-26.4642
3	2	-170.187	-41.0009
3.1	0	-100.405	-45.7758
3.1	1	-153.539	-26.1239
3.1	2	-170.329	-41.196
3.2	0	-100.331	-45.5401
