Time,DistanceX,DistanceY,rnti,sinr
0.1,-249.879,-249.72,1,23.4
0.1,-249.683,-249.785,2,23.03
0.1,-249.992,-250.319,3,23.02
0.2,-249.758,-249.439,1,23.4
0.2,-249.367,-249.57,2,23.03
0.2,-249.985,-250.638,3,23.02
0.3,-249.638,-249.159,1,23.4
0.3,-249.312,-249.498,2,23.03
0.3,-249.977,-250.957,3,23.02
0.4,-249.793,-249.101,1,23.4
0.4,-249.673,-249.65,2,23.03
0.4,-249.775,-251.261,3,23.02
0.5,-250.054,-249.127,1,23.4
0.5,-250.034,-249.803,2,23.03
0.5,-249.544,-251.562,3,23.02
0.6,-250.315,-249.154,1,23.4
0.6,-250.276,-249.852,2,23.03
0.6,-249.411,-251.85,3,23.02
0.7,-250.576,-249.181,1,23.4
0.7,-250.494,-249.881,2,23.03
0.7,-249.604,-252.096,3,23.02
0.8,-250.947,-249.208,1,23.4
0.8,-250.712,-249.91,2,23.03
0.8,-249.796,-252.342,3,23.02
0.9,-251.329,-249.235,1,23.4
0.9,-250.93,-249.939,2,23.03
0.9,-249.976,-252.587,3,23.02
1.0,-251.605,-249.353,1,23.4
1.0,-251.12,-249.91,2,23.03
1.0,-249.777,-252.798,3,23.02
1.1,-251.634,-249.681,1,23.4
1.1,-251.242,-249.74,2,23.03
1.1,-249.577,-253.008,3,23.02
1.2,-251.662,-250.01,1,23.4
1.2,-251.364,-249.57,2,23.03
1.2,-249.377,-253.218,3,23.02
1.3,-251.719,-250.188,1,23.4
1.3,-251.486,-249.4,2,23.03
1.3,-249.436,-253.449,3,23.02
1.4,-251.849,-249.959,1,23.4
1.4,-251.608,-249.23,2,23.03
1.4,-249.679,-253.693,3,23.02
1.5,-251.979,-249.729,1,23.4
1.5,-251.762,-249.217,2,23.03
1.5,-249.922,-253.937,3,23.02
1.6,-252.109,-249.499,1,23.4
1.6,-251.947,-249.353,2,23.03
1.6,-250.072,-253.8,3,23.02
1.7,-252.175,-249.188,1,23.4
1.7,-252.132,-249.489,2,23.03
